tag,package count,total count,min,max
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/lastName,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/firstName,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/organization,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/street1,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/city,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/countryCode,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/creationDate,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/manufacturer,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/modelName,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/kind,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/userLabel,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/outputChannel,65,13.0,13,13
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/settings,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/settings/singleStateParameter,65,15.0,15,15
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/inputMediaChannel,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/patchList,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/patchList/patch,65,3.0,3,3
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/serialNumber,65,3.0,3,3
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/inputChannel,65,15.0,15,15
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/settings/softwareVersion,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/descriptor,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/descriptor/manufacturer,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/descriptor/modelName,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/descriptor/kind,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/inputChannel,65,8.0,8,8
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/outputChannel,65,2.0,2,2
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/settings,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/settings/singleStateParameter,65,14.0,14,14
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/settings/softwareVersion,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/outputMediaChannel,65,2.0,2,2
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/devicePatchList,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/devicePatchList/patch,65,4.0,4,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/mediaPool,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/mediaPool/media,65,2.0,2,2
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/mediaPool/media/mediaLocation,65,2.0,2,2
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/mediaPool/media/stream,65,3.0,3,3
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/syncMedia,65,2.0,2,2
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/hours,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/minutes,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/seconds,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/frames,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/filmFraming,65,1.0,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/mediaPatchList,65,1.0,1,1
